word,stress_rule,pair_partner,corpus_weight,detail
unión,vowel-n-s,,9,ends in vowel/n/s but stressed on the LAST syllable → tilde
espíritu,exception,,8,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
todavía,exception,,8,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
será,vowel-n-s,,7,ends in vowel/n/s but stressed on the LAST syllable → tilde
cómo,pair,como,7,"diacritic: same spelling, different word"
había,exception,,7,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
decisión,vowel-n-s,,7,ends in vowel/n/s but stressed on the LAST syllable → tilde
débil,other,,7,ends in a consonant other than n/s but stressed on the second-to-last syllable → tilde
resurrección,vowel-n-s,,7,ends in vowel/n/s but stressed on the LAST syllable → tilde
último,exception,,7,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
quién,pair,quien,7,"diacritic: same spelling, different word"
estén,vowel-n-s,,6,ends in vowel/n/s but stressed on the LAST syllable → tilde
gustaría,exception,,6,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
desafíen,exception,,6,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
tecnologías,exception,,6,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
obstáculo,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
armonía,exception,,6,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
rían,exception,,6,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
permíteme,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
pónselo,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
ayúdanos,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
renuévanos,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
hónralos,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
perdón,vowel-n-s,,6,ends in vowel/n/s but stressed on the LAST syllable → tilde
difíciles,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
debí,vowel-n-s,,6,ends in vowel/n/s but stressed on the LAST syllable → tilde
vínculo,exception,,6,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
oración,vowel-n-s,,5,ends in vowel/n/s but stressed on the LAST syllable → tilde
generación,vowel-n-s,,4,ends in vowel/n/s but stressed on the LAST syllable → tilde
jamás,vowel-n-s,,4,ends in vowel/n/s but stressed on the LAST syllable → tilde
resolución,vowel-n-s,,4,ends in vowel/n/s but stressed on the LAST syllable → tilde
oír,exception,,4,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
Satanás,vowel-n-s,,4,ends in vowel/n/s but stressed on the LAST syllable → tilde
nación,vowel-n-s,,4,ends in vowel/n/s but stressed on the LAST syllable → tilde
